                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 120.89,                      0,                      0,                      0,                      0,                      0,                      0,                 260.36,                      0,                0.00014,                0.00014,                0.00014
                      2,                      0,                 108.88,                      0,                      0,                      0,                      0,                      0,                      0,                 258.96,                      0,             0.00029703,             0.00029703,             0.00029703
                      3,                      0,                 92.412,                      0,                      0,                      0,                      0,                      0,                      0,                  255.5,                      0,             0.00045089,             0.00045089,             0.00045089
