                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6143,                  1.696,                 2.2981,                0.41425,                0.72951,                0.40545,                0.20398,                 1.4772,                 2.4111,                 2.5828,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.5491,                  1.568,                 2.2264,                0.74001,                0.79508,                0.84084,                0.44778,                 1.5302,                 2.0118,                 2.4979,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.5965,                 1.5629,                 2.2347,                0.92022,                0.85089,                0.96149,                0.63917,                 1.1308,                 1.9704,                 2.1739,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.5656,                 1.5852,                 2.1794,                0.79552,                0.86885,                0.90876,                0.61097,                 1.0097,                 2.2057,                  2.096,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.4262,                 1.4001,                 2.1248,                0.74968,                0.86066,                0.88215,                0.51708,                 1.0649,                 1.8933,                 2.1398,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.4471,                 1.3459,                 2.1514,                0.89514,                0.90964,                0.95041,                0.48313,                 1.3112,                 1.6352,                 2.3469,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.3394,                 1.2891,                 2.0773,                0.96671,                0.95226,                0.98782,                0.64473,                 1.1353,                 1.4654,                  2.255,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.4385,                 1.3218,                 2.1393,                0.95187,                0.97265,                 0.9864,                0.67566,                 1.1219,                 1.8125,                 2.1593,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.3554,                 1.2966,                 2.0686,                0.95196,                0.97466,                0.99207,                0.65497,                 1.0966,                 1.5006,                 2.1624,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.3257,                  1.202,                 2.0051,                0.99171,                 0.9802,                0.99434,                 0.6669,                 1.0608,                  1.321,                 2.1113,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2411,                 1.1262,                 1.9234,                0.99877,                 0.9918,                  0.995,                0.75652,                0.91632,                  1.196,                 2.0069,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2252,                  1.126,                  1.965,                0.99177,                0.98785,                0.99484,                0.73674,                0.93803,                 1.1589,                 2.0393,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.1939,                 1.0453,                 1.9165,                0.99177,                0.98809,                0.99484,                0.70908,                0.99233,                 1.0819,                 2.0699,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2139,                 1.0497,                 1.9261,                0.99016,                 0.9918,                0.99426,                0.75443,                0.91874,                0.98426,                 1.9927,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.1966,                 1.0798,                 1.8814,                0.99905,                 0.9918,                  0.995,                0.76221,                0.96046,                 1.0158,                 2.0513,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.2045,                 1.0481,                 1.9081,                      1,                0.99173,                  0.995,                0.75104,                 1.0201,                 1.0195,                 2.0986,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.1204,                0.99022,                 1.8133,                0.99167,                0.97615,                0.99444,                0.71584,                 1.1317,                 1.0484,                 2.1415,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.1216,                0.95716,                  1.847,                0.96921,                0.97541,                0.99169,                0.71631,                 1.0434,                 1.0185,                 2.0751,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.1801,                0.95715,                 1.8703,                0.99797,                0.98361,                0.99476,                0.75024,                0.94883,                0.89463,                 1.9863,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.1061,                 0.9632,                 1.8236,                0.99909,                 0.9918,                  0.995,                0.76394,                0.90712,                0.83555,                 1.9323,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.0992,                0.92675,                  1.786,                0.99936,                 0.9918,                  0.995,                0.77683,                0.87639,                0.86303,                 1.9529,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.1197,                0.92544,                 1.7923,                0.99944,                 0.9918,                  0.995,                0.75831,                0.89508,                0.83134,                 1.9419,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.0961,                0.91798,                 1.8077,                0.99914,                 0.9918,                  0.995,                 0.7629,                0.88097,                0.81117,                 1.9209,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.1084,                0.88945,                 1.7728,                0.99924,                 0.9918,                  0.995,                0.77756,                0.86525,                0.84098,                 1.9132,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.1228,                0.88704,                 1.7784,                      1,                0.98999,                  0.995,                0.79091,                 0.8398,                0.82845,                 1.8932,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.0513,                0.83891,                 1.7287,                 0.9976,                 0.9918,                  0.995,                0.78891,                0.84566,                0.92217,                 1.9229,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.0371,                0.83889,                 1.7248,                      1,                0.99102,                  0.995,                0.78249,                0.87057,                0.86256,                 1.9494,             0.00069331,             0.00069331,             0.00069331
