                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0751,                   3.48,                 4.2493,                0.01431,                      1,                0.03849,                0.01102,                 2.6797,                 3.8802,                 4.1602,             0.00011669,             0.00011669,             0.00011669
                      2,                 3.0211,                 3.3875,                  4.203,                0.01387,                      1,                0.06714,                0.01764,                 2.6864,                   3.87,                 4.1592,             0.00016753,             0.00016753,             0.00016753
                      3,                 3.0638,                 3.3338,                 4.1648,                0.01344,                      1,                0.13016,                0.02263,                  2.695,                 3.8589,                 4.1574,             0.00013036,             0.00013036,             0.00013036
